,filename,width,height,class,xmin,ymin,xmax,ymax
0,img-263_jpg.rf.892eb0397a70a352b0bc33f6a147d675.jpg,720,720,pothole,228,241,444,362
1,img-261_jpg.rf.e3583096f4d7e2a182149ba9afbcfc92.jpg,720,720,pothole,213,251,483,409
2,img-260_jpg.rf.3acd135908f14f0e9f68192fa13ea465.jpg,720,720,pothole,197,272,449,378
3,img-262_jpg.rf.3db190e680343ed338296042b9f5e3a4.jpg,720,720,pothole,276,263,377,349
4,img-259_jpg.rf.86aaa968ce87cb21d2649e95839c244d.jpg,720,720,pothole,249,243,464,413
5,img-259_jpg.rf.86aaa968ce87cb21d2649e95839c244d.jpg,720,720,pothole,192,107,255,165
6,img-296_jpg.rf.3e33f2944f9d71c053850d09577d220d.jpg,544,300,pothole,15,19,510,300
7,img-295_jpg.rf.9cfbc106f3396aeb13d3f99c391ce64b.jpg,533,300,pothole,67,110,465,268
8,img-293_jpg.rf.ca6c3ef3ac903d9e5263cc24099bbb61.jpg,400,300,pothole,161,135,264,185
9,img-293_jpg.rf.ca6c3ef3ac903d9e5263cc24099bbb61.jpg,400,300,pothole,298,82,345,98
10,img-293_jpg.rf.ca6c3ef3ac903d9e5263cc24099bbb61.jpg,400,300,pothole,102,109,161,129
11,img-293_jpg.rf.ca6c3ef3ac903d9e5263cc24099bbb61.jpg,400,300,pothole,52,215,124,245
12,img-292_jpg.rf.e4018e1f8e44152360a48e5232297f2a.jpg,300,444,pothole,5,138,164,239
13,img-292_jpg.rf.e4018e1f8e44152360a48e5232297f2a.jpg,300,444,pothole,22,17,65,33
14,img-292_jpg.rf.e4018e1f8e44152360a48e5232297f2a.jpg,300,444,pothole,20,1,59,8
15,img-291_jpg.rf.0c1b9f687f136c9b1970efaa75d32231.jpg,536,300,pothole,66,188,389,300
16,img-290_jpg.rf.6942266560522f82066038b541027d9d.jpg,533,300,pothole,1,154,533,300
17,img-289_jpg.rf.39d1543a1cab281dc5febdc1a16c9a4b.jpg,300,442,pothole,91,275,198,391
18,img-288_jpg.rf.8067a6a9d79ea3dcb37e47e1e29ef88c.jpg,533,300,pothole,217,27,283,67
19,img-288_jpg.rf.8067a6a9d79ea3dcb37e47e1e29ef88c.jpg,533,300,pothole,331,33,386,58
20,img-288_jpg.rf.8067a6a9d79ea3dcb37e47e1e29ef88c.jpg,533,300,pothole,201,179,231,195
21,img-288_jpg.rf.8067a6a9d79ea3dcb37e47e1e29ef88c.jpg,533,300,pothole,435,223,529,268
22,img-288_jpg.rf.8067a6a9d79ea3dcb37e47e1e29ef88c.jpg,533,300,pothole,309,237,418,287
23,img-287_jpg.rf.19a805e3a1845683bb4f47af51b8de37.jpg,401,300,pothole,15,90,353,282
24,img-285_jpg.rf.7f7cf6ab5dad29d75936719c450faeed.jpg,720,720,pothole,242,268,456,473
25,img-284_jpg.rf.56a1dfdd07c542ee7af63580db90c1fb.jpg,720,720,pothole,256,258,456,425
26,img-284_jpg.rf.56a1dfdd07c542ee7af63580db90c1fb.jpg,720,720,pothole,160,278,245,452
27,img-283_jpg.rf.b8c7a6ea440f9683c3f76d5754599a4f.jpg,720,720,pothole,215,269,427,422
28,img-283_jpg.rf.b8c7a6ea440f9683c3f76d5754599a4f.jpg,720,720,pothole,441,224,496,274
29,img-283_jpg.rf.b8c7a6ea440f9683c3f76d5754599a4f.jpg,720,720,pothole,103,112,211,159
30,img-281_jpg.rf.09e7fcea8709dc8bd7d799bd346b3d0f.jpg,720,720,pothole,158,235,575,392
31,img-280_jpg.rf.53dd1da4cff0af87558cff72138794e9.jpg,720,720,pothole,243,280,449,438
32,img-279_jpg.rf.126ee458fab6a3983e7336bd4408e701.jpg,720,720,pothole,302,291,441,417
33,img-278_jpg.rf.59aabb4c0e30640a912b669ebad9cd8d.jpg,720,720,pothole,407,140,498,251
34,img-278_jpg.rf.59aabb4c0e30640a912b669ebad9cd8d.jpg,720,720,pothole,210,387,301,507
35,img-277_jpg.rf.70a35da45babe2c725dbe4fa639e89d2.jpg,720,720,pothole,263,294,405,374
36,img-275_jpg.rf.59c68c48a12960c7ea86163d39f0ea4d.jpg,720,720,pothole,235,279,548,446
37,img-274_jpg.rf.816b2e4bda9e51204bf2cd2aa209fe50.jpg,720,720,pothole,353,240,475,298
38,img-274_jpg.rf.816b2e4bda9e51204bf2cd2aa209fe50.jpg,720,720,pothole,189,323,419,406
39,img-274_jpg.rf.816b2e4bda9e51204bf2cd2aa209fe50.jpg,720,720,pothole,141,223,301,292
40,img-273_jpg.rf.473d6e156e61ed75a57253643ab0328f.jpg,720,720,pothole,294,326,446,390
41,img-273_jpg.rf.473d6e156e61ed75a57253643ab0328f.jpg,720,720,pothole,161,578,720,720
42,img-272_jpg.rf.8c1a71784795d3ee8535d76931594c9f.jpg,720,720,pothole,264,265,470,382
43,img-272_jpg.rf.8c1a71784795d3ee8535d76931594c9f.jpg,720,720,pothole,578,308,720,385
44,img-270_jpg.rf.ae32377ec34641192544670bf004739e.jpg,720,720,pothole,273,282,420,375
45,img-270_jpg.rf.ae32377ec34641192544670bf004739e.jpg,720,720,pothole,1,66,135,120
46,img-268_jpg.rf.08736c012f711f24b023c914e4205149.jpg,720,720,pothole,258,195,494,414
47,img-267_jpg.rf.f50b4eccea93fe17ebcf2e4076140c88.jpg,720,720,pothole,264,281,378,356
48,img-267_jpg.rf.f50b4eccea93fe17ebcf2e4076140c88.jpg,720,720,pothole,330,351,452,515
49,img-267_jpg.rf.f50b4eccea93fe17ebcf2e4076140c88.jpg,720,720,pothole,67,352,261,494
50,img-267_jpg.rf.f50b4eccea93fe17ebcf2e4076140c88.jpg,720,720,pothole,607,1,720,35
51,img-26_jpg.rf.f941793f07a3bc5dda0723a0d30041ee.jpg,720,720,pothole,288,296,434,411
52,img-26_jpg.rf.f941793f07a3bc5dda0723a0d30041ee.jpg,720,720,pothole,662,320,720,369
53,img-266_jpg.rf.6240ac9750b2791bd481a0cb694b4a3d.jpg,720,720,pothole,228,263,465,421
54,img-266_jpg.rf.6240ac9750b2791bd481a0cb694b4a3d.jpg,720,720,pothole,531,487,590,534
55,img-265_jpg.rf.e4c76dcfe49ab14372397a9ff5f153e8.jpg,720,720,pothole,38,354,112,417
56,img-265_jpg.rf.e4c76dcfe49ab14372397a9ff5f153e8.jpg,720,720,pothole,321,311,563,433
57,img-265_jpg.rf.e4c76dcfe49ab14372397a9ff5f153e8.jpg,720,720,pothole,81,198,241,303
58,img-319_jpg.rf.22b65d4f7c9aa300d0878e9424a40d67.jpg,300,369,pothole,71,136,236,212
59,img-321_jpg.rf.663ad0ed3ef90b48f212d451aa82aba9.jpg,300,300,pothole,1,112,254,252
60,img-322_jpg.rf.9fd7d306b3ecd5ae42cdff1b02b0db99.jpg,453,300,pothole,16,73,440,230
61,img-320_jpg.rf.0765b31c7ff97bf3c391782c13bb9818.jpg,688,300,pothole,34,103,644,230
62,img-320_jpg.rf.0765b31c7ff97bf3c391782c13bb9818.jpg,688,300,pothole,276,23,362,58
63,img-318_jpg.rf.3cdda5b6cffa77075c11b9bdfd8cf26f.jpg,489,300,pothole,127,195,412,285
64,img-317_jpg.rf.770d0c5b7340eea3208d88b0800066da.jpg,450,300,pothole,143,96,305,186
65,img-316_jpg.rf.c144f8327780a2f710a79c3c2b5d0f07.jpg,458,300,pothole,38,97,267,252
66,img-314_jpg.rf.a3e7ac0036589996b9c9eb1eb44fb1ad.jpg,450,300,pothole,111,60,275,263
67,img-315_jpg.rf.654c8e0f66209d380f063ed5bf9d5187.jpg,450,300,pothole,155,175,329,258
68,img-315_jpg.rf.654c8e0f66209d380f063ed5bf9d5187.jpg,450,300,pothole,14,194,57,220
69,img-315_jpg.rf.654c8e0f66209d380f063ed5bf9d5187.jpg,450,300,pothole,377,124,443,139
70,img-315_jpg.rf.654c8e0f66209d380f063ed5bf9d5187.jpg,450,300,pothole,233,130,257,140
71,img-315_jpg.rf.654c8e0f66209d380f063ed5bf9d5187.jpg,450,300,pothole,367,209,411,226
72,img-30_jpg.rf.57889ecb807059b4adc0032995228d2a.jpg,720,720,pothole,266,252,456,483
73,img-30_jpg.rf.57889ecb807059b4adc0032995228d2a.jpg,720,720,pothole,1,179,44,240
74,img-30_jpg.rf.57889ecb807059b4adc0032995228d2a.jpg,720,720,pothole,233,112,281,157
75,img-313_jpg.rf.9ba7cf2cdf11c9fe19b4ad52db2ecac7.jpg,400,300,pothole,49,130,88,143
76,img-313_jpg.rf.9ba7cf2cdf11c9fe19b4ad52db2ecac7.jpg,400,300,pothole,1,146,400,300
77,img-310_jpg.rf.30a2a42ac01cf4b630874592f4d801ef.jpg,451,300,pothole,144,138,252,163
78,img-310_jpg.rf.30a2a42ac01cf4b630874592f4d801ef.jpg,451,300,pothole,341,100,414,118
79,img-310_jpg.rf.30a2a42ac01cf4b630874592f4d801ef.jpg,451,300,pothole,149,159,417,274
80,img-309_jpg.rf.e8b8a5e1969e8e71b448aa7c83206264.jpg,533,300,pothole,1,58,529,207
81,img-306_jpg.rf.67a9eb5c5890617d59e58e98a0a86d69.jpg,533,300,pothole,85,112,322,271
82,img-306_jpg.rf.67a9eb5c5890617d59e58e98a0a86d69.jpg,533,300,pothole,418,158,533,276
83,img-305_jpg.rf.564405f2ae91fe75f3f54639e295f1e2.jpg,574,300,pothole,236,138,288,173
84,img-305_jpg.rf.564405f2ae91fe75f3f54639e295f1e2.jpg,574,300,pothole,378,189,484,250
85,img-304_jpg.rf.766574a013cc869e66df180f60295457.jpg,503,300,pothole,264,57,503,198
86,img-304_jpg.rf.766574a013cc869e66df180f60295457.jpg,503,300,pothole,1,78,249,256
87,img-302_jpg.rf.c7375ad32e8d0337bd7d27034f3764eb.jpg,400,300,pothole,32,90,259,262
88,img-301_jpg.rf.51e9d06820d0d552e497d66f5981e7a1.jpg,534,300,pothole,245,177,393,248
89,img-301_jpg.rf.51e9d06820d0d552e497d66f5981e7a1.jpg,534,300,pothole,422,124,534,170
90,img-301_jpg.rf.51e9d06820d0d552e497d66f5981e7a1.jpg,534,300,pothole,491,283,534,300
91,img-301_jpg.rf.51e9d06820d0d552e497d66f5981e7a1.jpg,534,300,pothole,441,198,482,218
92,img-301_jpg.rf.51e9d06820d0d552e497d66f5981e7a1.jpg,534,300,pothole,479,188,533,202
93,img-2_jpg.rf.962d887972144063f0280f7969d29c23.jpg,720,720,pothole,307,234,458,325
94,img-2_jpg.rf.962d887972144063f0280f7969d29c23.jpg,720,720,pothole,264,299,363,382
95,img-2_jpg.rf.962d887972144063f0280f7969d29c23.jpg,720,720,pothole,190,423,257,503
96,img-298_jpg.rf.cf838b3dd4c5b5cc89710916246f3a87.jpg,449,300,pothole,104,83,221,127
97,img-298_jpg.rf.cf838b3dd4c5b5cc89710916246f3a87.jpg,449,300,pothole,265,125,332,155
98,img-299_jpg.rf.175bd48885a00ca91af2cde359d324ba.jpg,453,300,pothole,201,37,317,121
99,img-299_jpg.rf.175bd48885a00ca91af2cde359d324ba.jpg,453,300,pothole,41,123,245,291
100,img-299_jpg.rf.175bd48885a00ca91af2cde359d324ba.jpg,453,300,pothole,15,1,178,74
101,img-297_jpg.rf.e43461bec653e71c229ca2c309aca359.jpg,533,300,pothole,271,122,309,141
102,img-297_jpg.rf.e43461bec653e71c229ca2c309aca359.jpg,533,300,pothole,288,108,321,126
103,img-297_jpg.rf.e43461bec653e71c229ca2c309aca359.jpg,533,300,pothole,245,96,287,110
104,img-297_jpg.rf.e43461bec653e71c229ca2c309aca359.jpg,533,300,pothole,183,142,333,189
105,img-297_jpg.rf.e43461bec653e71c229ca2c309aca359.jpg,533,300,pothole,89,201,407,298
106,img-348_jpg.rf.7f69a937375f8585653476522d546025.jpg,362,300,pothole,5,21,299,300
107,img-346_jpg.rf.7579261f0cdfffb527ad924a9cf86279.jpg,345,300,pothole,74,103,295,300
108,img-346_jpg.rf.7579261f0cdfffb527ad924a9cf86279.jpg,345,300,pothole,155,50,211,79
109,img-346_jpg.rf.7579261f0cdfffb527ad924a9cf86279.jpg,345,300,pothole,245,53,279,73
110,img-346_jpg.rf.7579261f0cdfffb527ad924a9cf86279.jpg,345,300,pothole,261,78,280,92
111,img-345_jpg.rf.cb2f7a70ab689aee871ec218ca2a1c17.jpg,514,300,pothole,98,198,418,237
